Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,Frank Mason III (12084542),Frank Mason III,12084542,PG/SG/G/UTIL,3000,SAC@DEN 02/13/2019 09:00PM ET,SAC,10.76
SF/PF,Troy Williams (12084546),Troy Williams,12084546,SF/PF/F/UTIL,3000,SAC@DEN 02/13/2019 09:00PM ET,SAC,12.54
PF/C,Caleb Swanigan (12084550),Caleb Swanigan,12084550,PF/C/F/UTIL,3000,SAC@DEN 02/13/2019 09:00PM ET,SAC,6.25
SG/SF,Corey Brewer (12084554),Corey Brewer,12084554,SG/SF/F/G/UTIL,3000,SAC@DEN 02/13/2019 09:00PM ET,SAC,16.46
C,Kosta Koufos (12084559),Kosta Koufos,12084559,C/UTIL,3000,SAC@DEN 02/13/2019 09:00PM ET,SAC,12.03
SF/PF,Wenyen Gabriel (12084561),Wenyen Gabriel,12084561,SF/PF/F/UTIL,3000,SAC@DEN 02/13/2019 09:00PM ET,SAC,0
PF,Tyler Lydon (12084565),Tyler Lydon,12084565,PF/F/UTIL,3000,SAC@DEN 02/13/2019 09:00PM ET,DEN,2.5
SF/PF,Michael Porter Jr. (12084568),Michael Porter Jr.,12084568,SF/PF/F/UTIL,3000,SAC@DEN 02/13/2019 09:00PM ET,DEN,0
SF/PF,Jarred Vanderbilt (12084572),Jarred Vanderbilt,12084572,SF/PF/F/UTIL,3000,SAC@DEN 02/13/2019 09:00PM ET,DEN,7.25
C,Thomas Welsh (12084576),Thomas Welsh,12084576,C/UTIL,3000,SAC@DEN 02/13/2019 09:00PM ET,DEN,3.71
PG/SG,Brandon Goodwin (12084578),Brandon Goodwin,12084578,PG/SG/G/UTIL,3000,SAC@DEN 02/13/2019 09:00PM ET,DEN,3.38
SG,Gary Trent Jr. (12084582),Gary Trent Jr.,12084582,SG/G/UTIL,3000,GS@POR 02/13/2019 10:30PM ET,POR,2.94
PF/C,Skal Labissiere (12084585),Skal Labissiere,12084585,PF/C/F/UTIL,3000,GS@POR 02/13/2019 10:30PM ET,POR,6.42
PG/SG,Anfernee Simons (12084589),Anfernee Simons,12084589,PG/SG/G/UTIL,3000,GS@POR 02/13/2019 10:30PM ET,POR,2.39
C,Damian Jones (12084593),Damian Jones,12084593,C/UTIL,3000,GS@POR 02/13/2019 10:30PM ET,GS,13.82
SG/SF,Damion Lee (12084595),Damion Lee,12084595,SG/SF/F/G/UTIL,3000,GS@POR 02/13/2019 10:30PM ET,GS,8.74
PG,Shaun Livingston (12084600),Shaun Livingston,12084600,PG/G/UTIL,3000,GS@POR 02/13/2019 10:30PM ET,GS,11.48
SF,Marcus Derrickson (12084603),Marcus Derrickson,12084603,SF/F/UTIL,3000,GS@POR 02/13/2019 10:30PM ET,GS,4.72
SG/SF,Jacob Evans III (12084606),Jacob Evans III,12084606,SG/SF/F/G/UTIL,3000,GS@POR 02/13/2019 10:30PM ET,GS,2.26
PG,Jose Calderon (12084423),Jose Calderon,12084423,PG/G/UTIL,3000,DET@BOS 02/13/2019 07:30PM ET,DET,8.84
PG,Kalin Lucas (12084611),Kalin Lucas,12084611,PG/G/UTIL,3000,DET@BOS 02/13/2019 07:30PM ET,DET,7.25
SF/PF,Glenn Robinson III (12084614),Glenn Robinson III,12084614,SF/PF/F/UTIL,3000,DET@BOS 02/13/2019 07:30PM ET,DET,7.27
SG,Khyri Thomas (12084618),Khyri Thomas,12084618,SG/G/UTIL,3000,DET@BOS 02/13/2019 07:30PM ET,DET,5.68
PF,Henry Ellenson (12084621),Henry Ellenson,12084621,PF/F/UTIL,3000,DET@BOS 02/13/2019 07:30PM ET,DET,12.88
PG/SG,Isaiah Whitehead (12084624),Isaiah Whitehead,12084624,PG/SG/G/UTIL,3000,DET@BOS 02/13/2019 07:30PM ET,DET,0
SG/SF,Svi Mykhailiuk (12084628),Svi Mykhailiuk,12084628,SG/SF/F/G/UTIL,3000,DET@BOS 02/13/2019 07:30PM ET,DET,6.44
PG/SG,PJ Dozier (12084633),PJ Dozier,12084633,PG/SG/G/UTIL,3000,DET@BOS 02/13/2019 07:30PM ET,BOS,4.17
PF/C,Guerschon Yabusele (12084637),Guerschon Yabusele,12084637,PF/C/F/UTIL,3000,DET@BOS 02/13/2019 07:30PM ET,BOS,4.96
SG,R.J. Hunter (12084641),R.J. Hunter,12084641,SG/G/UTIL,3000,DET@BOS 02/13/2019 07:30PM ET,BOS,0
SF/PF,Semi Ojeleye (12084644),Semi Ojeleye,12084644,SF/PF/F/UTIL,3000,DET@BOS 02/13/2019 07:30PM ET,BOS,6.36
PF/C,Ryan Anderson (12084648),Ryan Anderson,12084648,PF/C/F/UTIL,3000,MIA@DAL 02/13/2019 08:30PM ET,MIA,9.05
PF,Udonis Haslem (12084652),Udonis Haslem,12084652,PF/F/UTIL,3000,MIA@DAL 02/13/2019 08:30PM ET,MIA,3.08
PF,Yante Maten (12084655),Yante Maten,12084655,PF/F/UTIL,3000,MIA@DAL 02/13/2019 08:30PM ET,MIA,0
SG/SF,Duncan Robinson (12084658),Duncan Robinson,12084658,SG/SF/F/G/UTIL,3000,MIA@DAL 02/13/2019 08:30PM ET,MIA,3.29
SG/SF,Ryan Broekhoff (12084663),Ryan Broekhoff,12084663,SG/SF/F/G/UTIL,3000,MIA@DAL 02/13/2019 08:30PM ET,DAL,5.77
PG/SG,J.J. Barea (12084668),J.J. Barea,12084668,PG/SG/G/UTIL,3000,MIA@DAL 02/13/2019 08:30PM ET,DAL,23.26
PF/C,Dirk Nowitzki (12084672),Dirk Nowitzki,12084672,PF/C/F/UTIL,3000,MIA@DAL 02/13/2019 08:30PM ET,DAL,8.25
