Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG/SF,Will Barton (12083696),Will Barton,12083696,SG/SF/F/G/UTIL,5500,SAC@DEN 02/13/2019 09:00PM ET,DEN,24.81
C,Dwight Howard (12083701),Dwight Howard,12083701,C/UTIL,5500,WAS@TOR 02/13/2019 07:30PM ET,WAS,27.03
SG/SF,JJ Redick (12083691),JJ Redick,12083691,SG/SF/F/G/UTIL,5500,PHI@NY 02/13/2019 07:30PM ET,PHI,27.63
PG,Goran Dragic (12083707),Goran Dragic,12083707,PG/G/UTIL,5400,MIA@DAL 02/13/2019 08:30PM ET,MIA,28.05
SF/PF,Jabari Parker (12083703),Jabari Parker,12083703,SF/PF/F/UTIL,5400,WAS@TOR 02/13/2019 07:30PM ET,WAS,26.94
PG/SG,Jordan Clarkson (12083710),Jordan Clarkson,12083710,PG/SG/G/UTIL,5300,BKN@CLE 02/13/2019 07:00PM ET,CLE,26.48
C,Willie Cauley-Stein (12083714),Willie Cauley-Stein,12083714,C/UTIL,5300,SAC@DEN 02/13/2019 09:00PM ET,SAC,30.98
PG/SF,Caris LeVert (12083716),Caris LeVert,12083716,PG/SF/F/G/UTIL,5200,BKN@CLE 02/13/2019 07:00PM ET,BKN,30.72
PG/SG,Malik Beasley (12083721),Malik Beasley,12083721,PG/SG/G/UTIL,5200,SAC@DEN 02/13/2019 09:00PM ET,DEN,19
SG,Gary Harris (12083725),Gary Harris,12083725,SG/G/UTIL,5100,SAC@DEN 02/13/2019 09:00PM ET,DEN,25.63
SG/SF,Jaylen Brown (12083733),Jaylen Brown,12083733,SG/SF/F/G/UTIL,5100,DET@BOS 02/13/2019 07:30PM ET,BOS,22.71
SG/SF,Tim Hardaway Jr. (12083728),Tim Hardaway Jr.,12083728,SG/SF/F/G/UTIL,5100,MIA@DAL 02/13/2019 08:30PM ET,DAL,29.48
C,Jarrett Allen (12083738),Jarrett Allen,12083738,C/UTIL,5000,BKN@CLE 02/13/2019 07:00PM ET,BKN,28.2
PG/SG,Patrick Beverley (12083740),Patrick Beverley,12083740,PG/SG/G/UTIL,5000,PHO@LAC 02/13/2019 10:30PM ET,LAC,21.35
SF/PF,Harrison Barnes (12083744),Harrison Barnes,12083744,SF/PF/F/UTIL,5000,SAC@DEN 02/13/2019 09:00PM ET,SAC,27.05
SF/PF,Marcus Morris (12083748),Marcus Morris,12083748,SF/PF/F/UTIL,5000,DET@BOS 02/13/2019 07:30PM ET,BOS,26.74
PG,Collin Sexton (12083771),Collin Sexton,12083771,PG/G/UTIL,4900,BKN@CLE 02/13/2019 07:00PM ET,CLE,23.55
